"program","willingness_to_pay","government_net_costs","increased_net_income","increased_tax_revenue","cost_difference_between_college_and_vocational_degree","mvpf","additional_return_value","program_name","year","category","average_age_beneficiary","short_description","average_earnings_beneficiary","notes"
"BestUpInformationWorkshop",11417.397042803,-6907.55872252852,181294.369853838,172975.915150202,26934.1106231207,Inf,NA,"Best Up College Information Workshop",2013,"Education",19,"A group of researchers  studied the effect of providing information about the benefits of college education to high school students one year prior to graduation.",NA,NA
"bridgingAllowance",25541.4957844194,-4640.77447734966,NA,NA,NA,Inf,NA,"Bridging Allowance",2003,"Active Labor Market Policy",40.17,"The bridging allowance ""Überbrückungsgeld"" was a subsidy equal to the potential unemployment benefit payed to start up founders who would otherwise have been eligible for unemployment benefits. The briding allowance was payed for 6 months.",2189.362,NA
"classRoomTraining",3222.27932802442,3161.25479437559,NA,NA,NA,1.01930389595847,NA,"Class Room Training",2000,"Active Labor Market Policy",37,"Government sponsored training that lasts on average 7.5 months.",NA,NA
"G8",8073.85950989997,-269.218005173821,NA,NA,NA,Inf,NA,"G8",2011,"Education",18,"Between 2007 and 2013 some German federal states shortened the length of the academic high school track ""Gymnasium"" from 9 to 8 years.",NA,NA
"longTraining",15772.3843483001,1644.88311431763,NA,NA,NA,9.58875692200365,NA,"Long Training",1993,"Active Labor Market Policy",35.2,"Government sponsored Training Program lasting longer than 6 months",1396,NA
"mentoringBalu",7598.76735557392,-1551.13542150181,NA,NA,NA,Inf,NA,"Mentoring Program Balu und Du",2011,"Education",10,"Elementary School students were assigned mentors who should encourage the acquisition of new ideas and skills.",NA,NA
"practiceFirm",13973.4210319588,-743.916846735821,NA,NA,NA,Inf,NA,"Practice Firm",1993,"Active Labor Market Policy",36,"Government sponsored training that simulates a job",1396,NA
"retraining",21978.2070192168,9266.37125568257,NA,NA,NA,2.37182457002667,NA,"Retraining",1993,"Active Labor Market Policy",31,"Government sponsored training to obtain a new professional degree in a field other than the
profession currently held",1396,NA
"shortTraining",24607.0241713428,-8761.66767273224,NA,NA,NA,Inf,NA,"Short Training",1993,"Active Labor Market Policy",34.8,"Government sponsored Training Program lasting less less then 6 months",1396,NA
"speedLimitA3",7193239.55439245,4134915.64006545,NA,NA,NA,1.7396339322363,NA,"Speed Limit A3",2015,NA,NA,"Potential Speed Limit of 130 kmph on German Autobahn A3",NA,NA
"speedLimitA61",8001849.62712518,8684851.78456951,NA,NA,NA,0.921357073858436,NA,"Speed Limit A61",2015,NA,NA,"Potential Speed Limit of 130 kmph on German Autobahn A61",NA,NA
"startupGrant",28869.3039057064,-10024.4513505647,NA,NA,NA,Inf,NA,"Start Up Grant",2009,"Active Labor Market Policy",40.969,"The start up Grant is the follow up program to the  bridging allowance ""Überbrückungsgeld"" and start up subsidy ""Existenzgründungszuschuss"" which were replaced in 2006. This subsidy pays the individual unemloyment benefit for 6 months and an additional 300 euros for up to 15 months.",2047.962,NA
"startupSubsidy",18469.8767278812,4025.80322457114,NA,NA,NA,4.58787369813604,NA,"Start Up Subsidy",2003,"Active Labor Market Policy",38.86,"The start up subsidy ""Existenzgründungszuschuss"" was a subsidy that was payed for 3 years to start up founders who received unemployment benefits before entering self-employment.",1459.378,NA
"taxReform1990",1,-0.19240416827853,NA,NA,NA,Inf,NA,"Top Tax Reform 1990",1990,"Top Tax Reform",NA,"In 1990 Germany reduced the top tax rate from 56% to 53%",NA,NA
"taxReform2000",1,0.352185678650037,NA,NA,NA,2.83941131233133,NA,"Top Tax Reform 2000",2000,"Top Tax Reform",NA,"In 2000 Germany reduced the top tax rate from 53% to 42%",NA,NA
"testProgram",2,1,NA,NA,NA,2,5,"Test Program",1970,"Test Program",50,NA,NA,"Test if everything works as expected"
"trainingMeasures",4239.63418220382,-1634.57136358306,NA,NA,NA,Inf,NA,"Training Measures",2000,"Active Labor Market Policy",37,"Government sponsored short-term training programs ""Trainingsmaßnahmen"", which where introduced again in 1998 after being abolished in 1993",NA,NA
"trainingVoucher",-5229.55980007583,5104.77057677612,NA,NA,NA,-1.02444560855828,NA,"Training Voucher",2003,"Active Labor Market Policy",39.03,"Training Vouchers ""Bildungsgutscheine"" are awarded to unemployed to allow them to participate in training programs usually lasting between several months and 3 years.",1901.21,NA
"tuitionFees",-2895.99045192994,-363.346317103833,NA,NA,NA,7.9703311017801,NA,"Tuition Fees",2008,"Education",21,"In 2006 and 2007 some German federal states introduced tuition fees of about 1000€ per year. All tuition fees in Germany have since been abolished again. Lower Saxony was the last state to scrap tuition fees in 2015.",NA,NA
